184,230425, Faculty of Science (Environmental Management)
185,230431,ช่างกลโลหะ
186,230453,สังคมศึกษา
187,230465,พาณิชย์
188,230465,ภาษาไทย
189,230472,บริหารรัฐกิจ
190,230472,การจัดการทรัพยากร
191,230475,เลขานุการ
192,230475,วิทยาการจัดการ
193,240047,วิทยาศาสตร์และเทคโนโลยีอาหาร
194,240047,Food Technology (Food Quality Control)
195,240058,ถ่ายภาพ
196,240058,โสตทัศนศึกษา
197,240075,ชีววิทยา
198,240075,จุลชีววิทยา
199,240075,Microbiology
200,240124,NULL
201,240124,วิทยาศาสตร์ทั่วไป
202,240180,เศรษฐศาสตร์เกษตร
203,240180,การวิเคราะห์และประเมินโครงการ
204,240180,Science and Technology Policy
205,240243,พาณิชยการ
206,240243,การบริหารธุรกิจ
207,240243,การจัดการทั่วไป
208,240434,เคมี
209,240434,เคมีวิเคราะห์
210,240467,บัญชี
211,240467,คอมพิวเตอร์ธุรกิจ
212,250018,ภาษาอังกฤษ
213,250018,การพัฒนาทรัพยากรมนุษย์และองค์การ
214,589999,วัสดุศาสตร์
215,589999,บริหารธุรกิจ
216,589999,Materials Science and Engineering
217,589999,Materials Science and Engineering
218,250120,NULL
219,250120,วิทยาศาสตร์ทั่วไป
220,250121,สถิติ
221,250121,สถิติ
222,250157,อุตสาหกรรมศิลป์
223,250213,ชีววิทยา
224,250213,พืชสวน
225,250213,Soils
226,250290,การคลัง
227,250404,NULL
228,250404,คอมพิวเตอร์
229,250404,การจัดการทั่วไป
230,250438,เคมีวิศวกรรม
231,250438,Material
232,250443,พืชไร่
233,250443,วิทยาศาสตร์สิ่งแวดล้อม
234,250464,ช่างกลโลหะ
235,250464,เทคโนโลยีอุตสาหกรรม
236,250468,NULL
237,260137,NULL
238,260406,รัฐศาสตร์
239,261005,การพัฒนาชุมชน
240,270009,NULL
241,270009,บัญชี
242,270009,บัญชี
243,270009,การจัดการทั่วไป
244,270020,NULL
245,270020,NULL
246,270020,NULL
247,270020,การประชาสัมพันธ์
248,270025,บัญชี
249,270025,นิเทศศาสตร์
250,270079,NULL
251,270079,คอมพิวเตอร์ธุรกิจ
252,270079,คอมพิวเตอร์
253,270093,เคมี
254,270093,เคมีประยุกต์
255,270109,ก่อสร้าง
256,270109,เทคโนโลยีอุตสาหกรรม
257,270118,จุลชีววิทยา
258,270118,จุลชีววิทยา
259,270118,Molecular Biology
260,270118,Molecular Biology
261,270127,วิทยาศาสตร์ทั่วไป(เคมี-ชีวะ)
262,270127,พัฒนาผลิตภัณฑ์อุตสาหกรรมเกษตร
263,270169,บัญชี
264,270181,NULL
265,270181,NULL
266,270198,เคมี
267,270198,Materials Science and Engineering
268,270227,วิศวกรรมเคมี
269,270227,เทคโนโลยีทางชีวภาพ
270,270227,Chemical Engineering
271,270227,Chemical Engineering
272,270255,ชีววิทยา
273,270255,พยาธิชีววิทยา
274,270255,Toxicology
275,270294,เคมี
276,270294,เคมี
277,270313,เคมี
278,270313,เคมีวิศวกรรม
279,270379,พืชสวน
280,270379,พืชสวน
281,270379,Horticulture
282,270416,เชิงปริมาณ
283,270416,เศรษฐมิติ
284,270423,การพัฒนาเศรษฐกิจ
285,270427,การบัญชี
286,270427,บริหารธุรกิจ
287,270436,วิทยาศาสตร์ทั่วไป
288,270437,วิศวอุตสาหการ (เทคโนโลยีการผลิต)
289,270440,NULL
290,270440,จิตวิทยาแนะแนว
291,270447,เกษตร
292,270447,เกษตรศาสตร์
293,270458,อุตสาหการ
294,270458,เทคโนโลยีพลังงาน
295,270458,Energy Technology
296,270473,ช่างยนต์
297,270489,เภสัชกรรม
298,270489,เภสัชอุตสาหกรรม
299,270493,บัญชี
300,270552,ไฟฟ้า
301,270552,รัฐประศาสนศาสตร์
302,280257,ประวัติศาสตร์
303,280387,NULL
304,280387,NULL
305,280393,NULL
306,280498,ช่างภาพ
307,280500,ช่างพิมพ์
308,280500,การบริหารทรัพยากรบุคคล
309,280503,ภาษาอังกฤษ
310,280503,ภาษาศาสตร์
311,280503,Information Science
312,280509,เคมี
313,280509,นิวเคลียร์
314,280515,เลขานุการ
315,290152,นิเทศศิลป์
316,290224,โลหะ
317,290345,ฟิสิกส์
318,290345,นิวเคลียร์เทคโนโลยี
319,290445,NULL
320,290517,เคมี
321,290517,อินทรีย์เคมี
322,290519,วิทยาศาสตร์ทั่วไป
323,290519,การจัดการภาครัฐและภาคเอกชน
324,300057,เกษตร
325,300218,ช่างโลหะ
326,300218,ช่างโลหะ
327,300474,เคมี
328,300474,นิวเคลียร์
329,300483,จุลชีววิทยา
330,300483,จุลชีววิทยาทางอุตสาหกรรม
331,300483,Agriclutural Chemistry (Molecular Taxonomy of Yeas
332,300533,ชีววิทยา
333,300533,สรีรวิทยา
334,300533,Pharmaceutical Science
335,310028,การออกแบบนิเทศศิลป์
336,310136,วัสดุศาสตร์
337,310136,การจัดการสำหรับนักบริหาร
338,310141,รัฐศาสตร์
339,310145,Industrial Design
340,310145,ศิลปกรรม
341,310344,พฤกษศาสตร์
342,310344,พฤกษศาสตร์
343,310377,เกษตร
344,310403,NULL
345,310403,คหกรรมศาสตร์
346,310417,เศรษฐศาสตร์
347,310429,วัสดุศาสตร์ (เซรามิกส์)
348,310429,Ceramic Science and Engineering
349,310429,Ceramic Science and Engineering
350,310492,รัฐศาสตร์
351,310543,สัตวบาล
352,310543,เทคโนโลยีการบริหารสิ่งแวดล้อม
353,310543,Pharmaceutical Science
354,310543,Toxic Cyanobacteria
355,310543,NEDO Programme on Industry and Environment Protect
356,320031,การเงิน-การธนาคาร
357,320046,ช่างไฟฟ้า
358,320046,อิเล็กทรอนิคส์
359,320131,Chemical Engineering
360,320131,Materials Science
361,320131,Materials Science
362,320174,ภาษาอังกฤษ
363,320207,วิทยุ-โทรคมนาคม
364,320207,ไฟฟ้า
365,320207,เทคโนโลยีอุตสาหกรรมไฟฟ้า
366,320267,เคมี
367,320267,เคมีอินทรีย์
368,320312,เกษตร
369,320312,ปฐพี
370,320312,ปฐพี
371,320329,รัฐศาสตร์
372,320342,เคมี
373,320374,อุตสาหกรรมการบริการ
374,320383,การประถมศึกษา
375,320383,ศิลปกรรม
376,320385,เคมี
377,320385,เคมีอินทรีย์
378,320433,เครื่องกล
379,320433,เครื่องกล
380,320455,ก่อสร้าง
381,320481,เกษตรศาสตร์
382,320481,เกษตรศาสตร์เชิงระบบ
383,320484,บัญชี
384,320485,บัญชี
385,320485,การเงินการธนาคาร(เกียรตินิยมอันดับสอง)
386,320497,รัฐศาสตร์
387,320502,อุตสาหการ
388,320502,วิศวกรรมเครื่องกล
389,320523,NULL
390,320523,บรรณารักษศาสตร์
391,320532,ช่างโลหะ
392,320532,เทคโนโลยีการผลิต
393,320536,NULL
394,320536,NULL
395,320536,การจัดการทั่วไป
396,320536,รัฐประศาสนศาสตร์
397,320549,เคมี
398,320549,Biological Sciences (Biochemistry)
399,320557,เคมี
400,320557,วิทยาศาสตร์สิ่งแวดล้อม
401,320557,Civil&Environmental Engineering
402,320557,Civil&Environmental Engineering
403,322061,NULL
404,330040,อุตสาหการ
405,330045,เคมี
406,330045,พิษวิทยา
407,330067,บรรณารักษ์
408,330067,บรรณารักษ์ศาสตร์และสารนิเทศศาสตร์
409,330096,วัสดุศาสตร์
410,330096,สารนิเทศศาสตร์
411,330096,Packaging
412,330096,Packaging
413,330104,อุตสาหการ
414,330159,วิศวกรรมอุตสาหการ
415,330223,การบริหารโรงเรียน
416,330280,ไฟฟ้ากำลัง
417,330297,เทคโนโลยีโทรทัศน์
418,330347,NULL
419,330347,อุตสาหกรรมศิลป์
420,330347,ระบบสารสนเทศภูมิศาสตร์
421,330396,NULL
422,330396,ช่างอิเล็กทรอนิกส์
423,330396,การพัฒนาชุมชน
424,330414,เทคโนโลยีทางอาหารและเทคโนโลยีทางชีวภาพ
425,330414,การจัดการ
426,330430,อุตสาหกรรมเกษตร
427,330430,Post-harvest and Food  Process Engineering
428,330430,Packaging
429,330452,ช่างก่อสร้าง
430,330452,อุตสาหกรรมศิลป์
431,330478,พิเศษวิชาการศึกษา
432,330478,ภาษาอังกฤษธุรกิจ
433,330478,อังกฤษธุรกิจ
434,330486,บัญชี
435,330486,การบัญชี
436,330486,บัญชี
437,330488,เคมีวิศวกรรม
438,330491,การตลาด
439,330491,การจัดการทั่วไป
440,330499,คหกรรมศาสตร์ทั่วไป
441,330499,คหกรรมศาสตร์
442,330504,ช่างยนต์
443,330504,เทคโนโลยีขนถ่ายวัสดุ
444,330506,การเงินธนาคาร
445,330520,เคมี
446,330520,เคมีวิเคราะห์
447,330548,การจัดการทั่วไป
448,330550,บัญชี
449,330550,คอมพิวเตอร์ศึกษา
450,330551,การตลาด
451,330551,การจัดการทั่วไป
452,330556,ช่างไฟฟ้ากำลัง
453,330556,เทคโนโลยีไฟฟ้าอุตสาหกรรม
454,330560,วิศวอุตสาหการ
455,330560,สถิติประยุกต์
456,330561,วิศวกรรมเคมี
457,330563,การจัดการทั่วไป
458,330564,การบริหารทั่วไป
459,330565,วิศวกรรมเกษตร
460,330565,วิศวกรรมอุตสาหการ
461,330567,เทคโนโลยีการผลิต
462,330568,เครื่องกล
463,330570,โลหะ
464,330570,เทคโนโลยีการผลิต
465,330571,โลหะ
466,330572,ไฟฟ้ากำลัง
467,330572,อุตสาหกรรมศึกษา
468,330573,เคมี
469,330575,บริหารธุรกิจ
470,330575,การจัดการทั่วไป
471,330576,เคมี-ชีววิทยา
472,330576,การจัดการสิ่งแวดล้อม
473,330577,ชีววิทยา
474,330577,จุลชีววิทยา
475,330578,อนามัยชุมชน
476,330580,จุลชีววิทยา
477,330580,FOOD SCIENCE AND TECHOLGOY
478,330583,เภสัชศาสตร์
479,330585,คอมพิวเตอร์
480,330585,เทคโนโลยีสารสนเทศ
481,330586,ฟิสิกส์
482,330586,เทคโนโลยีอุณหภาพ
483,330592,NULL
484,330592,NULL
485,330594,ชีววิทยา
486,330594,Microbiology
487,330594,Microbiology
488,330595,ภาษาไทย
489,340008,เศรษฐศาสตร์
490,340029,เคมี
491,340062,เกษตรศึกษา
492,340095,เคมี
493,340133,คณิต-ฟิสิกส์
494,340133,เทคโนโลยีอุณหภาพ
495,340195,NULL
496,340219,ช่างกลโลหะ
497,340219,เทคโนโลยีขนถ่ายวัสดุ
498,340286,การตลาด
499,340402,ศิลปศึกษา
500,340402,Design
501,340513,บัญชี
502,340513,การจัดการทั่วไป
503,340518,สาธารณสุขศาสตร์
504,340518,พยาธิชีววิทยา
505,340518,Molecular Biology
506,340538,นิเทศศาสตร์ (ประชาสัมพันธ์)
507,340542,ฟิสิกส์
508,340542,เทคโนโลยีพลังงาน
509,340553,ไฟฟ้า
510,340554,NULL
511,340554,NULL
513,340559,System Engineering
514,340581,เคมี
515,340582,เคมี
516,340582,เคมีวิเคราะห์
517,340587,ไฟฟ้า
518,340588,เทคโนโลยีและนวัตกรรมการศึกษา
519,340599,โรคพืช (เกียรตินิยมอันดับหนึ่ง)
520,340599,พัฒนาผลิตภัณฑ์อุตสาหกรรมเกษตร
521,340600,บัญชีการเงิน
522,340601,เคมี
523,340602,เคมี
524,340604,ฟิสิกส์
525,340604,วิศวกรรมโลหการ
526,340604,วิศวกรรมเครื่องกล (โลหการ)
527,340605,เซรามิกส์
528,340605,Materials Engineering
529,340607,ช่างยนต์
530,340608,ไฟฟ้ากำลัง
531,340608,วิศวกรรมไฟฟ้า
532,340609,ไฟฟ้ากำลัง
533,340609,เทคโนโลยีไฟฟ้าอุตสาหกรรม
534,340610,การตลาด
535,340611,เชื่อมและโลหะแผ่น
536,340611,โลหะ
537,340611,เทคโนโลยีการผลิต
538,340612,ช่างยนต์
539,340612,เทคโนโลยีอุตสาหกรรม
540,350001,วัสดุศาสตร์
541,350001,Technology Management
542,350166,วนศาสตร์
543,350166,วิทยาศาสตรก์สิ่งแวดล้อม
544,350166,Forestry
545,350182,การเงิน
546,350197,เกษตรศาสตร์
547,350197,พืชศาสตร์
548,350226,เคมีวิศวกรรม
549,350226,รัฐประศาสนศาสตร์
550,350275,ก่อสร้าง
551,350309,ชีววิทยา
552,350309,จุลชีววิทยา
553,350317,วัสดุศาสตร์
554,350317,Metallurgical and Materials Engineering
555,350317,Metallurgical and Materials Engineering
556,350428,การบัญชี
557,350477,ปฐพีวิทยา
558,350477,ปฐพีวิทยา
559,350496,อิเล็กทรอนิกส์
560,350496,อิเล็กทรอนิกส์
561,350496,Industrial and Management Engineering
562,350496,Industrial Engineering and Management
563,350537,เคมี
564,350537,เคมีอินทรีย์
565,350603,ฟิสิกส์
566,350614,ปฐพีวิทยา
567,350614,ปฐพีวิทยา
568,350614,Soil Science
569,350615,เศรษฐศาสตร์เกษตร
570,350615,พัฒนาเศรษฐกิจ
571,350615,ECONOMICS
572,350619,Energy Planning
573,350619,ฟิสิกส์
574,350619,เทคโนโลยีพลังงาน
575,350620,วิทยาศาสตร์-ชีววิทยา
576,350620,สุขศึกษา
577,350620,อุตสาหกรรมการศึกษา
578,350624,วิศวกรรมเกษตร
579,360005,รัฐศาสตร์
580,360011,ฟิสิกส์
581,360026,ไฟฟ้า
582,360026,เทคโนโลยีไฟฟ้าอุตสาหกรรม
583,360033,บัญชี
584,360037,ช่างยนต์
585,360037,อุตสาหการ
586,360064,การตลาด
587,360117,การตลาด
588,360117,บริหารธุรกิจ
589,360156,การเงินการธนาคาร
590,360190,บัญชี
591,360190,การบริหารงานบุคคล
592,360266,เทคโนโลยีการผลิต
593,360266,Materials Processing
594,360266,Materials Processing
595,360299,NULL
596,360305,เคมี
597,360305,Chemistry
598,360330,วิทยาศาสตร์และเทคโนโลยีอาหาร
599,360338,เคมี
600,360338,ปิโตรเคมี
601,360358,ชีวเคมี
602,360358,Biotechnology
603,360391,วิทยาศาสตร์-เคมี
604,360391,วิทยาศาสตร์สิ่งแวดล้อม
605,360441,ฟิสิกส์
606,360441,วิศวกรรมการวัดคุม
607,360448,เคมี
608,360456,พณิชยการ
609,360456,การจัดการทั่วไป (การตลาด)
610,360494,ศิลปะอุตสาหกรรม
611,360501,ไฟฟ้ากำลัง
612,360501,ไฟฟ้ากำลัง
613,360508,ไฟฟ้ากำลัง
614,360508,เทคโนโลยีไฟฟ้าอุตสาหกรรม
615,360510,วิทยาศาสตร์และเทคโนโลยีการอาหาร
616,360521,วิทยาศาสตร์-เคมี
617,360521,เคมีอินทรีย์
618,360522,เคมี
619,360522,Environmental Chemistry
620,360524,อิเล็กทรอนิกส์
621,360524,เทคโนโลยีอิเล็กทรอนิกส์
622,360525,เทคโนโลยีอาหารและเทคโนโลยีชีวภาพ
623,360525,Food Science
624,360526,การบริหาร
625,360526,การบริหารรัฐกิจ (รัฐประศาสนศาสตร์)
626,360546,คณะศิลปกรรม
627,360613,การเงิน
628,360613,การจัดการการเงิน
629,360618,คอมพิวเตอร์
630,360618,การจัดการ
631,370041,วิทยาศาสตร์
632,370055,วิทยาศาสตร์-เคมี
633,370056,วิทยาศาสตร์ทั่วไป
634,370056,สัตววิทยา
635,370056,วิทยาศาสตร์ชีวภาพ
636,370091,NULL
637,370091,NULL
638,370132,ช่างก่อสร้าง
639,370138,การตลาด
640,370143,การบริหารธุรกิจระหว่างประเทศ
641,370237,เคมี
642,370246,การบัญชี
643,370246,การบริหารการศึกษา
644,370248,ชีววิทยา
645,370248,สัตววิทยา
646,370262,NULL
